orif_cost,tha_cost,inmb
8000.0,8000.0,39769924.94233309
9300.0,8000.0,41069924.94233309
10600.0,8000.0,42369924.94233309
11900.0,8000.0,43669924.94233308
13200.0,8000.0,44969924.94233313
14500.0,8000.0,46269924.9423331
15800.0,8000.0,47569924.94233305
17100.0,8000.0,48869924.94233303
18400.0,8000.0,50169924.94233302
19700.0,8000.0,51469924.942333035
21000.0,8000.0,52769924.942333035
22300.0,8000.0,54069924.942333035
23600.0,8000.0,55369924.942333035
24900.0,8000.0,56669924.94233303
26200.0,8000.0,57969924.94233303
27500.0,8000.0,59269924.94233303
28800.0,8000.0,60569924.94233303
30100.0,8000.0,61869924.94233303
31400.0,8000.0,63169924.942333035
32700.0,8000.0,64469924.942333035
34000.0,8000.0,65769924.942333035
35300.0,8000.0,67069924.942333035
36600.0,8000.0,68369924.94233304
37900.0,8000.0,69669924.94233304
39200.0,8000.0,70969924.94233304
40500.0,8000.0,72269924.94233304
41800.0,8000.0,73569924.94233304
43100.0,8000.0,74869924.94233304
44400.0,8000.0,76169924.94233304
45700.0,8000.0,77469924.9423331
47000.0,8000.0,78769924.94233307
48300.0,8000.0,80069924.9423331
49600.0,8000.0,81369924.9423331
50900.0,8000.0,82669924.94233304
52200.0,8000.0,83969924.94233307
53500.0,8000.0,85269924.94233304
54800.0,8000.0,86569924.94233307
56100.0,8000.0,87869924.94233304
57400.0,8000.0,89169924.94233304
58700.0,8000.0,90469924.94233304
60000.0,8000.0,91769924.94233304
8000.0,9550.0,38219924.94233309
9300.0,9550.0,39519924.94233309
10600.0,9550.0,40819924.94233309
11900.0,9550.0,42119924.94233308
13200.0,9550.0,43419924.94233313
14500.0,9550.0,44719924.9423331
15800.0,9550.0,46019924.94233305
17100.0,9550.0,47319924.94233303
18400.0,9550.0,48619924.94233302
19700.0,9550.0,49919924.942333035
21000.0,9550.0,51219924.942333035
22300.0,9550.0,52519924.942333035
23600.0,9550.0,53819924.942333035
24900.0,9550.0,55119924.94233303
26200.0,9550.0,56419924.94233303
27500.0,9550.0,57719924.94233303
28800.0,9550.0,59019924.94233303
30100.0,9550.0,60319924.94233303
31400.0,9550.0,61619924.942333035
32700.0,9550.0,62919924.942333035
34000.0,9550.0,64219924.942333035
35300.0,9550.0,65519924.942333035
36600.0,9550.0,66819924.942333035
37900.0,9550.0,68119924.94233304
39200.0,9550.0,69419924.94233304
40500.0,9550.0,70719924.94233304
41800.0,9550.0,72019924.94233304
43100.0,9550.0,73319924.94233304
44400.0,9550.0,74619924.94233304
45700.0,9550.0,75919924.9423331
47000.0,9550.0,77219924.94233307
48300.0,9550.0,78519924.9423331
49600.0,9550.0,79819924.9423331
50900.0,9550.0,81119924.94233304
52200.0,9550.0,82419924.94233307
53500.0,9550.0,83719924.94233304
54800.0,9550.0,85019924.94233307
56100.0,9550.0,86319924.94233304
57400.0,9550.0,87619924.94233304
58700.0,9550.0,88919924.94233304
60000.0,9550.0,90219924.94233304
8000.0,11100.0,36669924.94233307
9300.0,11100.0,37969924.94233307
10600.0,11100.0,39269924.94233307
11900.0,11100.0,40569924.942333065
13200.0,11100.0,41869924.94233312
14500.0,11100.0,43169924.94233309
15800.0,11100.0,44469924.942333035
17100.0,11100.0,45769924.94233301
18400.0,11100.0,47069924.942333005
19700.0,11100.0,48369924.94233302
21000.0,11100.0,49669924.94233302
22300.0,11100.0,50969924.94233302
23600.0,11100.0,52269924.94233302
24900.0,11100.0,53569924.94233301
26200.0,11100.0,54869924.94233301
27500.0,11100.0,56169924.94233301
28800.0,11100.0,57469924.94233301
30100.0,11100.0,58769924.94233301
31400.0,11100.0,60069924.94233302
32700.0,11100.0,61369924.94233302
34000.0,11100.0,62669924.94233302
35300.0,11100.0,63969924.94233302
36600.0,11100.0,65269924.94233302
37900.0,11100.0,66569924.94233302
39200.0,11100.0,67869924.94233301
40500.0,11100.0,69169924.94233301
41800.0,11100.0,70469924.94233301
43100.0,11100.0,71769924.94233301
44400.0,11100.0,73069924.94233301
45700.0,11100.0,74369924.94233307
47000.0,11100.0,75669924.94233304
48300.0,11100.0,76969924.9423331
49600.0,11100.0,78269924.94233307
50900.0,11100.0,79569924.94233304
52200.0,11100.0,80869924.94233307
53500.0,11100.0,82169924.94233301
54800.0,11100.0,83469924.94233304
56100.0,11100.0,84769924.94233304
57400.0,11100.0,86069924.94233304
58700.0,11100.0,87369924.94233301
60000.0,11100.0,88669924.94233301
8000.0,12650.0,35119924.94233306
9300.0,12650.0,36419924.94233306
10600.0,12650.0,37719924.94233306
11900.0,12650.0,39019924.94233306
13200.0,12650.0,40319924.94233311
14500.0,12650.0,41619924.94233308
15800.0,12650.0,42919924.94233303
17100.0,12650.0,44219924.942333005
18400.0,12650.0,45519924.942333
19700.0,12650.0,46819924.94233301
21000.0,12650.0,48119924.94233301
22300.0,12650.0,49419924.94233301
23600.0,12650.0,50719924.94233301
24900.0,12650.0,52019924.942333005
26200.0,12650.0,53319924.942333005
27500.0,12650.0,54619924.942333005
28800.0,12650.0,55919924.942333005
30100.0,12650.0,57219924.942333005
31400.0,12650.0,58519924.94233301
32700.0,12650.0,59819924.94233301
34000.0,12650.0,61119924.94233301
35300.0,12650.0,62419924.94233301
36600.0,12650.0,63719924.94233301
37900.0,12650.0,65019924.94233301
39200.0,12650.0,66319924.94233301
40500.0,12650.0,67619924.94233301
41800.0,12650.0,68919924.94233301
43100.0,12650.0,70219924.94233301
44400.0,12650.0,71519924.94233301
45700.0,12650.0,72819924.94233307
47000.0,12650.0,74119924.94233304
48300.0,12650.0,75419924.94233309
49600.0,12650.0,76719924.94233307
50900.0,12650.0,78019924.94233303
52200.0,12650.0,79319924.94233306
53500.0,12650.0,80619924.94233301
54800.0,12650.0,81919924.94233304
56100.0,12650.0,83219924.94233303
57400.0,12650.0,84519924.94233303
58700.0,12650.0,85819924.94233301
60000.0,12650.0,87119924.94233301
8000.0,14200.0,33569924.94233306
9300.0,14200.0,34869924.94233306
10600.0,14200.0,36169924.94233306
11900.0,14200.0,37469924.94233306
13200.0,14200.0,38769924.94233311
14500.0,14200.0,40069924.94233308
15800.0,14200.0,41369924.94233303
17100.0,14200.0,42669924.942333005
18400.0,14200.0,43969924.942333
19700.0,14200.0,45269924.94233301
21000.0,14200.0,46569924.94233301
22300.0,14200.0,47869924.94233301
23600.0,14200.0,49169924.94233301
24900.0,14200.0,50469924.942333005
26200.0,14200.0,51769924.942333005
27500.0,14200.0,53069924.942333005
28800.0,14200.0,54369924.942333005
30100.0,14200.0,55669924.942333005
31400.0,14200.0,56969924.94233301
32700.0,14200.0,58269924.94233301
34000.0,14200.0,59569924.94233301
35300.0,14200.0,60869924.94233301
36600.0,14200.0,62169924.94233301
37900.0,14200.0,63469924.94233301
39200.0,14200.0,64769924.94233301
40500.0,14200.0,66069924.94233301
41800.0,14200.0,67369924.94233301
43100.0,14200.0,68669924.94233301
44400.0,14200.0,69969924.94233301
45700.0,14200.0,71269924.94233307
47000.0,14200.0,72569924.94233304
48300.0,14200.0,73869924.94233309
49600.0,14200.0,75169924.94233307
50900.0,14200.0,76469924.94233303
52200.0,14200.0,77769924.94233306
53500.0,14200.0,79069924.94233301
54800.0,14200.0,80369924.94233304
56100.0,14200.0,81669924.94233303
57400.0,14200.0,82969924.94233303
58700.0,14200.0,84269924.94233301
60000.0,14200.0,85569924.94233301
8000.0,15750.0,32019924.94233306
9300.0,15750.0,33319924.94233306
10600.0,15750.0,34619924.94233306
11900.0,15750.0,35919924.94233306
13200.0,15750.0,37219924.94233311
14500.0,15750.0,38519924.94233308
15800.0,15750.0,39819924.94233303
17100.0,15750.0,41119924.942333005
18400.0,15750.0,42419924.942333
19700.0,15750.0,43719924.94233301
21000.0,15750.0,45019924.94233301
22300.0,15750.0,46319924.94233301
23600.0,15750.0,47619924.94233301
24900.0,15750.0,48919924.942333005
26200.0,15750.0,50219924.942333005
27500.0,15750.0,51519924.942333005
28800.0,15750.0,52819924.942333005
30100.0,15750.0,54119924.942333005
31400.0,15750.0,55419924.94233301
32700.0,15750.0,56719924.94233301
34000.0,15750.0,58019924.94233301
35300.0,15750.0,59319924.94233301
36600.0,15750.0,60619924.94233301
37900.0,15750.0,61919924.94233301
39200.0,15750.0,63219924.94233301
40500.0,15750.0,64519924.94233301
41800.0,15750.0,65819924.94233301
43100.0,15750.0,67119924.94233301
44400.0,15750.0,68419924.94233301
45700.0,15750.0,69719924.94233307
47000.0,15750.0,71019924.94233304
48300.0,15750.0,72319924.94233309
49600.0,15750.0,73619924.94233307
50900.0,15750.0,74919924.94233303
52200.0,15750.0,76219924.94233306
53500.0,15750.0,77519924.94233301
54800.0,15750.0,78819924.94233304
56100.0,15750.0,80119924.94233303
